;market;cur1;cur2;active;last_update_try;last_update_ok;symbol;fullmarketname
0;mtgox;BTC;EUR;True;2013-03-30 11:35:24.319181;2013-03-30 11:35:44.183843;BTC/EUR;mtgox|BTC/EUR
1;rock;BTC;EUR;True;2013-03-30 11:35:44.184025;2013-03-30 11:35:45.896165;BTC/EUR;rock|BTC/EUR
2;btc24;BTC;EUR;True;2013-03-30 11:35:45.896229;2013-03-30 11:35:47.813888;BTC/EUR;btc24|BTC/EUR
3;bitcurex;BTC;EUR;True;2013-03-30 11:35:47.813960;2013-03-30 11:35:49.188403;BTC/EUR;bitcurex|BTC/EUR
4;bc;BTC;EUR;True;2013-03-30 11:35:49.188469;2013-03-30 11:35:50.781854;BTC/EUR;bc|BTC/EUR
5;intrsng;BTC;EUR;True;2013-03-30 11:35:50.781925;2013-03-30 11:35:52.122210;BTC/EUR;intrsng|BTC/EUR
6;btce;BTC;EUR;True;2013-03-30 11:35:52.122294;2013-03-30 11:35:54.957070;BTC/EUR;btce|BTC/EUR
7;vcx;BTC;EUR;True;2013-03-30 11:35:54.957137;2013-03-30 11:35:56.726823;BTC/EUR;vcx|BTC/EUR
8;vcx;BTC;USD;True;2013-03-30 11:35:56.726890;2013-03-30 11:35:57.450287;BTC/USD;vcx|BTC/USD
9;bc;BTC;USD;True;2013-03-30 11:35:57.450361;2013-03-28 20:27:48.743330;BTC/USD;bc|BTC/USD
10;rock;BTC;USD;True;2013-03-30 11:36:06.320601;2013-03-30 11:36:08.032239;BTC/USD;rock|BTC/USD
11;bitme;BTC;USD;True;2013-03-30 11:36:08.032326;2013-03-30 11:36:10.014194;BTC/USD;bitme|BTC/USD
12;btc24;BTC;USD;True;2013-03-30 11:36:10.014259;2013-03-30 11:36:10.685326;BTC/USD;btc24|BTC/USD
13;bitfloor;BTC;USD;True;2013-03-30 11:36:10.685392;2013-03-30 11:36:12.192034;BTC/USD;bitfloor|BTC/USD
14;btce;BTC;USD;True;2013-03-30 11:36:12.192102;2013-03-30 11:36:12.878089;BTC/USD;btce|BTC/USD
15;bitstamp;BTC;USD;True;2013-03-30 11:36:12.878191;2013-03-30 11:36:15.459859;BTC/USD;bitstamp|BTC/USD
16;mtgox;BTC;USD;True;2013-03-30 11:36:15.459935;2013-03-30 11:36:29.371884;BTC/USD;mtgox|BTC/USD
17;intrsng;BTC;GBP;True;2013-03-30 11:36:29.371954;2013-03-30 11:36:29.627356;BTC/GBP;intrsng|BTC/GBP
18;bc;BTC;GBP;True;2013-03-30 11:36:29.627417;2013-03-30 11:36:29.908138;BTC/GBP;bc|BTC/GBP
19;mtgox;BTC;GBP;True;2013-03-30 11:36:29.908189;2013-03-30 11:36:48.457178;BTC/GBP;mtgox|BTC/GBP
20;cbx;BTC;USD;True;2013-03-28 21:31:04.054652;2013-03-28 21:31:21.638798;BTC/USD;cbx|BTC/USD
